id,domain,positive,negated,adjective
1,film,The movie was outstanding.,The movie was not outstanding.,outstanding
2,film,The film was captivating.,The film was not captivating.,captivating
3,film,The plot was brilliant.,The plot was not brilliant.,brilliant
4,film,The acting was superb.,The acting was not superb.,superb
5,film,The ending was satisfying.,The ending was not satisfying.,satisfying
6,film,The soundtrack was beautiful.,The soundtrack was not beautiful.,beautiful
7,film,The script was clever.,The script was not clever.,clever
8,film,The cinematography was stunning.,The cinematography was not stunning.,stunning
9,film,The cast was remarkable.,The cast was not remarkable.,remarkable
10,film,The direction was exceptional.,The direction was not exceptional.,exceptional
11,food,The pasta was delicious.,The pasta was not delicious.,delicious
12,food,The soup was flavorful.,The soup was not flavorful.,flavorful
13,food,The bread was fresh.,The bread was not fresh.,fresh
14,food,The dessert was heavenly.,The dessert was not heavenly.,heavenly
15,food,The steak was tender.,The steak was not tender.,tender
16,food,The salad was crispy.,The salad was not crispy.,crispy
17,food,The coffee was excellent.,The coffee was not excellent.,excellent
18,food,The sauce was rich.,The sauce was not rich.,rich
19,food,The pizza was perfect.,The pizza was not perfect.,perfect
20,food,The meal was enjoyable.,The meal was not enjoyable.,enjoyable
21,people,The teacher was inspiring.,The teacher was not inspiring.,inspiring
22,people,The doctor was caring.,The doctor was not caring.,caring
23,people,The colleague was helpful.,The colleague was not helpful.,helpful
24,people,The manager was supportive.,The manager was not supportive.,supportive
25,people,The guide was knowledgeable.,The guide was not knowledgeable.,knowledgeable
26,people,The host was welcoming.,The host was not welcoming.,welcoming
27,people,The performer was talented.,The performer was not talented.,talented
28,people,The speaker was engaging.,The speaker was not engaging.,engaging
29,people,The coach was motivating.,The coach was not motivating.,motivating
30,people,The chef was creative.,The chef was not creative.,creative
31,places,The beach was breathtaking.,The beach was not breathtaking.,breathtaking
32,places,The park was peaceful.,The park was not peaceful.,peaceful
33,places,The museum was fascinating.,The museum was not fascinating.,fascinating
34,places,The restaurant was cozy.,The restaurant was not cozy.,cozy
35,places,The hotel was luxurious.,The hotel was not luxurious.,luxurious
36,places,The city was vibrant.,The city was not vibrant.,vibrant
37,places,The garden was serene.,The garden was not serene.,serene
38,places,The view was magnificent.,The view was not magnificent.,magnificent
39,places,The village was charming.,The village was not charming.,charming
40,places,The market was lively.,The market was not lively.,lively
41,products,The laptop was reliable.,The laptop was not reliable.,reliable
42,products,The phone was impressive.,The phone was not impressive.,impressive
43,products,The camera was precise.,The camera was not precise.,precise
44,products,The headphones were comfortable.,The headphones were not comfortable.,comfortable
45,products,The keyboard was responsive.,The keyboard was not responsive.,responsive
46,products,The watch was elegant.,The watch was not elegant.,elegant
47,products,The bag was durable.,The bag was not durable.,durable
48,products,The software was intuitive.,The software was not intuitive.,intuitive
49,products,The chair was sturdy.,The chair was not sturdy.,sturdy
50,products,The blender was powerful.,The blender was not powerful.,powerful
