config,method,not_token,not_mean,adj_mean,L1,K,KL
Aux  n=0,LIME,aux not,0.1353515987345299,0.274219576195865,0.8300457948954868,0.5865953097950772,0.5163336888577671
Aux  n=1,LIME,aux not,0.11884364724980731,0.15830287898313883,0.5225010471180003,0.41427221424939864,0.19609749776972904
Aux  n=1,LIME,adj not,0.2778508027116914,0.15830287898313883,0.9562649349366017,0.6469412965229445,2.833520417795121
Base  n=1,LIME,not,0.40359043011440765,0.24373935529392635,0.9509082157547001,0.6444851186342329,0.7873208541241037
Base  n=2,LIME,first not,0.15964632745060317,0.26461136511847044,0.653018567601703,0.49228345068992396,0.3888534573399168
Base  n=2,LIME,second not,0.21180844280538366,0.26461136511847044,0.7053466707397329,0.5214464219085587,0.35938848733077294
Base  n=3,LIME,first not,0.06943569601250511,0.3014108112438345,1.230296953533143,0.7617237493831664,1.1688185232291208
Base  n=3,LIME,second not,0.08503764801228626,0.3014108112438345,1.1430911146877496,0.7273674691427517,0.951049995354909
Base  n=3,LIME,third not,0.15864568242096416,0.3014108112438345,0.8257780073083982,0.5844606371573866,0.4996376552083258
Contraction  n=1,LIME,not,0.20892070570512683,0.2488070641898857,0.42545428405151337,0.3508244099664731,0.1919116675594453
Contraction  n=2,LIME,first not,0.11310354085232213,0.2401104372662153,0.8037881843195146,0.5733587072053346,0.42889100186624324
Contraction  n=2,LIME,second not,0.14431110933668312,0.2401104372662153,0.7126286803995437,0.5254155760784633,0.38322837180319175
Not-at-beginning,LIME,not,0.3503857407038409,0.18885606416113454,0.975096433830582,0.655505766295513,0.8846074611438479
Aux  n=0,Occlusion,aux not,0.33290272189480563,0.21680559754163936,0.22785584921178204,0.2045516987038436,0.0329100499593786
Aux  n=1,Occlusion,aux not,0.25277771331860777,0.05840306205762553,0.7715294908946277,0.556753585649622,3.274615870142598
Aux  n=1,Occlusion,adj not,0.30021912329947975,0.05840306205762553,0.8430918371983612,0.5930809734441506,3.8256863795925526
Base  n=1,Occlusion,not,0.6233039843135625,0.16380711043920135,0.7962486804208969,0.5695120652152039,2.4889728378657816
Base  n=2,Occlusion,first not,0.04906241642257062,0.40535999042705434,1.273556113957281,0.7780872357906375,1.159318102646328
Base  n=2,Occlusion,second not,0.14703315514188142,0.40535999042705434,0.7032382762904518,0.5202932219911285,0.2991100426792818
Base  n=3,Occlusion,first not,0.03576197393541796,0.3860898352036851,1.357114995706398,0.8085007498653385,1.5344444275295503
Base  n=3,Occlusion,second not,0.0333744620086171,0.3860898352036851,1.3802761226290658,0.816664717647701,1.5913754643178035
Base  n=3,Occlusion,third not,0.1132232255127227,0.3860898352036851,0.8112239531441954,0.5771322147685085,0.4815226991252837
Contraction  n=1,Occlusion,not,0.23626304583662464,0.3712807714713563,0.24979582920125065,0.2220608874450054,0.06285749700779443
Contraction  n=2,Occlusion,first not,0.053096461973994535,0.38730333500438324,1.0760400148147946,0.6996267991524044,1.0086975642514355
Contraction  n=2,Occlusion,second not,0.1467036502843582,0.38730333500438324,0.6101263073412799,0.4675071130659306,0.2793974596457417
Not-at-beginning,Occlusion,not,0.4204965125031354,0.13218036278519452,0.6648509232188657,0.49897794839179543,2.644664326290022
Aux  n=0,Shap,aux not,0.1159568746415175,0.18743953936446114,0.4694459990307166,0.3802034943991317,0.15902526263574202
Aux  n=1,Shap,aux not,0.13747946110702478,0.1324822027399317,0.1854003075988203,0.16967171364822098,0.030874207945972985
Aux  n=1,Shap,adj not,0.1602449491058297,0.1324822027399317,0.1802369001072324,0.16533698709380373,0.05593269540110719
Base  n=1,Shap,not,0.19053671676617978,0.17599553159147907,0.2144550837970031,0.19368655103113575,0.03220891584471301
Base  n=2,Shap,first not,0.10214732694787494,0.17323864942000927,0.5684245783804016,0.4426250886750501,0.33273360615195574
Base  n=2,Shap,second not,0.18867255190376137,0.17323864942000927,0.32850256151344437,0.28215778409960546,0.09616930803731326
Base  n=3,Shap,first not,0.09551356819186996,0.1690389455281564,0.5670935920699993,0.44181762115865675,0.29513251287723274
Base  n=3,Shap,second not,0.09239049049777859,0.1690389455281564,0.6900011113129498,0.5130117667320743,0.35485600136473866
Base  n=3,Shap,third not,0.14088064134240344,0.1690389455281564,0.2515269669493754,0.22342789639350635,0.08064778614400948
Contraction  n=1,Shap,not,0.1430025139027707,0.1758085312299445,0.39045262310358425,0.3266767300300225,0.15645055371586364
Contraction  n=2,Shap,first not,0.11936582311979596,0.12607853118903206,0.10003106239148786,0.09526626932610571,0.026554301577193972
Contraction  n=2,Shap,second not,0.1416917461690591,0.12607853118903206,0.20530766041390777,0.1861941207562614,0.03220710519129782
Not-at-beginning,Shap,not,0.15246524885608123,0.1250410532094817,0.17815088465513781,0.16357993003165527,0.023330654733637404
